,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
192,34346,839051.4,29,24.4,25.38,24.34,24.43
193,188015,4573081.88,25,24.5,25.3,24.25,24.32
194,600,14632.0,2,24.32,24.4,24.32,24.39
195,160495,3932764.59,43,24.5,24.78,24.26,24.5
196,291250,7136019.5,24,24.5,24.62,24.5,24.5
197,213931,5241920.8,129,24.6,24.6,23.65,24.5
198,500,12275.0,1,24.55,24.55,24.55,24.55
199,300,7410.0,2,24.7,24.7,24.7,24.55
200,1394,34103.0,5,24.3,24.5,24.3,24.46
201,2110,51665.18,5,24.46,24.99,24.25,24.49
202,2322,57991.08,4,24.3,24.99,24.3,24.97
203,1174,28821.7,1,24.55,24.55,24.55,24.55
204,300,7365.0,1,24.55,24.55,24.55,24.55
205,500,12275.0,2,24.55,24.55,24.55,24.55
206,11500,281773.0,8,24.6,24.6,24.5,24.5
207,10970,268932.0,16,24.52,24.56,24.5,24.52
208,1000,24510.0,3,24.51,24.51,24.51,24.51
209,17067,418188.01,15,24.55,24.75,24.5,24.5
210,11864,290668.0,40,24.5,24.5,24.5,24.5
211,7240,174918.4,6,24.16,24.16,24.16,24.16
212,16,384.16,1,24.01,24.01,24.01,24.16
213,524,12814.5,2,24.03,24.5,24.03,24.46
214,1950,48060.0,6,24.5,24.85,24.5,24.65
215,1235,30260.0,3,24.5,24.51,24.5,24.5
216,1672,40309.54,10,24.11,24.11,24.1,24.11
217,2212,53139.74,6,24.11,24.11,24.0,24.02
218,3811,93857.32,17,24.95,26.0,24.05,24.63
219,500,12500.0,2,25.0,25.0,25.0,25.0
220,25,612.75,1,24.51,24.51,24.51,25.0
221,10011,247235.1,10,24.65,24.9,24.5,24.7
222,100,2485.0,1,24.85,24.85,24.85,24.7
223,286,7150.0,3,25.0,25.0,25.0,24.7
224,155,3813.55,2,24.61,24.61,24.6,24.7
225,83637,2118534.82,58,25.0,25.8,25.0,25.33
226,13753,363390.51,30,25.9,26.69,25.9,26.42
227,22475,614802.25,33,26.77,27.6,26.77,27.35
228,958,25401.63,8,26.5,26.61,26.5,26.52
229,3942,103777.85,10,26.5,27.0,25.5,26.33
230,4527,117691.0,6,25.8,26.1,25.8,26.0
231,1557,40931.0,13,25.8,27.5,25.8,26.29
232,2246,57957.1,5,25.8,26.9,25.6,25.8
233,1029,26524.0,3,26.0,26.0,25.75,25.78
234,785,20434.42,8,26.05,26.05,26.02,26.03
235,970,25325.0,7,26.0,26.6,26.0,26.11
236,3550,95240.0,5,26.8,27.0,26.8,26.83
237,14296,388846.1,17,27.0,27.5,27.0,27.2
238,14679,418297.65,35,27.93,29.0,27.8,28.5
239,4088,120523.1,17,28.97,30.3,28.97,29.48
240,6977,201643.6,18,29.4,29.4,28.5,28.9
241,74157,2224522.05,59,29.5,30.01,29.0,30.0
242,3393,101217.0,8,29.45,30.2,29.3,29.83
243,72500,2229856.6,29,30.0,31.25,30.0,30.76
244,229776,7348990.16,44,31.15,32.34,31.15,31.98
245,28149,901745.5,24,33.0,33.0,32.0,32.03
246,7369,236097.2,15,32.5,32.5,32.0,32.04
247,222467,7342787.51,26,32.87,33.48,32.87,33.01
248,59188,1920104.5,24,32.17,33.0,32.15,32.44
249,46284,1531263.47,26,33.0,33.25,32.5,33.08
250,133425,4403025.0,9,33.0,33.0,33.0,33.0
251,12870,426234.0,5,33.0,33.2,33.0,33.12
252,10820,357083.55,9,32.0,33.01,32.0,33.0
253,22273,735054.0,13,33.0,33.15,33.0,33.0
254,2362,77946.0,6,33.0,33.0,33.0,33.0
255,5370,177302.7,10,33.0,33.04,33.0,33.02
256,5106,172227.35,14,33.0,35.0,33.0,33.73
257,4924,163961.17,12,33.25,34.85,33.02,33.3
258,2502,86618.8,8,35.47,35.47,33.0,34.62
259,26245,866004.6,16,31.2,33.03,31.2,33.0
260,5465,182385.75,10,33.07,33.5,33.07,33.37
261,4374,146527.0,3,33.48,33.5,33.48,33.5
262,592,19832.0,4,33.5,33.5,33.5,33.5
263,8316,275941.74,19,33.07,33.5,33.05,33.18
264,8634,289239.0,11,33.5,33.5,33.5,33.5
265,10228,346075.5,8,33.5,34.0,33.5,33.84
266,1732,58888.0,3,34.0,34.0,34.0,34.0
267,26762,950656.11,63,34.0,36.8,33.45,35.52
268,32864,1269966.48,37,36.8,39.07,36.8,38.64
269,23978,1008083.4,39,42.49,42.5,40.0,42.04
270,3300,132005.2,6,40.5,40.5,39.04,40.0
271,12356,493645.75,13,40.0,40.0,39.5,39.95
272,66156,2646847.5,46,39.1,40.9,39.1,40.01
273,2735,106667.35,2,39.0,39.01,39.0,39.0
274,13575,541895.0,12,39.0,40.68,39.0,39.92
275,38960,1558497.4,42,39.25,40.5,39.25,40.0
276,9141,365699.41,7,40.01,40.01,40.0,40.01
277,42000,1680000.0,48,40.0,40.0,40.0,40.0
278,14749,589712.59,17,40.0,40.0,39.01,39.98
279,30340,1213600.0,8,40.0,40.0,40.0,40.0
280,10004,378707.08,23,40.0,40.0,36.0,37.86
281,9348,345967.4,18,37.02,37.11,37.0,37.01
282,3758,144455.5,15,37.25,39.0,37.25,38.44
283,4957,191217.32,13,40.0,40.0,38.01,38.58
284,469200,18774207.92,57,40.0,42.0,39.98,40.01
285,30639,1225343.5,22,40.0,40.0,39.5,39.99
286,23520,940800.0,4,40.0,40.0,40.0,40.0
287,50240,2009562.34,8,40.0,40.0,39.0,40.0
288,69850,2794000.0,75,40.0,40.0,40.0,40.0
289,300,12120.75,2,40.25,40.5,40.25,40.4
