,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
97,12428,281925.54,40,22.25,23.7,22.25,22.68
98,1810,40910.0,4,22.61,22.61,22.6,22.6
99,665220,15028567.0,27,22.6,22.6,22.0,22.59
100,36620,805610.7,30,21.9,22.0,21.9,22.0
101,1600,35190.0,4,21.99,22.0,21.99,21.99
102,4033,87067.42,19,21.11,22.0,21.0,21.59
103,3000,63955.9,5,21.25,21.96,21.25,21.32
104,17797,374315.92,48,21.35,21.35,20.5,21.03
105,171552,3602476.1,27,21.0,21.0,20.12,21.0
106,330161,6824261.73,30,21.0,21.54,20.02,20.67
107,35769,751352.65,14,21.0,21.4,20.5,21.01
108,8500,178215.0,9,20.5,21.0,20.5,20.97
109,80779,1677609.0,20,20.75,21.0,20.75,20.77
110,4000,83996.79,6,21.0,21.0,20.99,21.0
111,102074,2092630.3,32,20.5,20.8,20.5,20.5
112,103110,2113733.0,8,20.5,20.5,20.06,20.5
113,3811,76379.95,6,20.07,20.5,20.0,20.04
114,149315,2925449.27,48,20.03,20.03,19.11,19.59
115,114054,2269733.62,43,19.99,20.0,19.54,19.9
116,6200,123970.0,15,20.0,20.0,19.99,20.0
117,7100,141980.0,10,20.0,20.0,19.8,20.0
118,34311,708777.62,48,19.8,21.0,19.41,20.66
119,55130,1141936.08,95,21.0,21.1,19.8,20.71
120,61818,1228869.19,135,20.5,20.5,19.5,19.88
121,286302,6255639.67,196,20.89,21.86,20.89,21.85
122,4913,104912.77,21,21.54,21.54,20.53,21.35
123,77750,1550822.75,169,21.0,21.0,19.5,19.95
124,420757,8415030.48,439,20.3,20.5,19.72,20.0
125,91822,1843034.93,50,20.05,20.55,20.0,20.07
126,60050,1195597.0,59,20.03,20.03,19.55,19.91
127,25183,503429.69,35,19.75,20.24,19.75,19.99
128,325053,6501027.2,127,19.99,20.05,19.8,20.0
129,117535,2350435.95,68,19.99,20.0,19.91,20.0
130,34054,680680.85,40,20.01,20.4,19.72,19.99
131,13877,275871.51,45,19.99,20.0,19.66,19.88
132,32019,639976.06,52,20.0,20.02,19.8,19.99
133,24484,487474.99,97,20.06,20.06,19.69,19.91
134,52543,1005671.69,109,19.66,19.71,18.9,19.14
135,22061,430118.6,66,19.44,20.0,19.01,19.5
136,34476,660953.08,51,19.77,19.95,19.0,19.17
137,782,15559.8,3,19.89,19.9,19.89,19.9
138,116100,2306718.22,27,19.88,19.9,19.37,19.87
139,9729,192693.29,21,19.65,19.85,19.51,19.81
140,141111,2820021.83,50,19.75,20.0,19.75,19.98
141,13027,264549.25,28,20.3,20.38,20.01,20.31
142,118916,2437449.15,98,20.3,20.52,20.3,20.5
143,23092,474610.16,33,20.49,20.75,20.49,20.55
144,27174,557700.53,32,20.23,20.91,20.2,20.52
145,22650,467148.15,33,20.61,20.82,20.6,20.62
146,132735,2817791.54,163,20.83,21.65,20.83,21.23
147,10247,210281.47,29,20.79,20.9,20.31,20.52
148,27749,571543.27,35,20.03,21.0,20.0,20.6
149,56786,1220106.48,80,21.0,21.67,21.0,21.49
150,53348,1157201.24,31,21.67,21.79,21.5,21.69
151,29330,631730.18,44,21.5,21.7,21.5,21.54
152,28675,625690.14,64,21.68,22.01,21.6,21.82
153,157841,3496889.14,64,22.0,22.25,21.85,22.15
154,8400,185497.6,12,22.19,22.19,22.0,22.08
155,112322,2493202.61,65,22.0,22.28,21.99,22.2
156,45123,1001657.15,37,22.05,22.25,22.0,22.2
157,54006,1213850.65,76,21.65,22.8,21.65,22.48
158,198,4369.24,2,22.03,22.13,22.03,22.48
159,78511,1766512.5,21,22.5,22.51,22.5,22.5
160,471800,11130364.11,71,22.5,24.0,22.5,23.59
161,314070,7537500.03,107,24.0,24.01,23.9,24.0
162,134193,3232122.4,40,24.0,24.5,23.35,24.09
163,38438,922453.0,7,24.0,24.0,23.41,24.0
164,38851,938608.55,13,24.0,24.88,24.0,24.16
165,266896,6738393.18,197,24.88,25.65,24.88,25.25
166,105331,2684640.81,113,25.26,25.75,25.11,25.49
167,438491,11415091.71,90,25.9,26.25,25.9,26.03
168,43056,1119456.0,17,26.0,26.0,26.0,26.0
169,141371,3740000.1,32,26.0,26.5,26.0,26.46
170,99853,2646736.14,40,26.46,26.6,26.46,26.51
171,335957,8900492.9,62,25.84,26.74,25.84,26.49
172,54743,1466983.09,55,26.96,27.0,26.68,26.8
173,73057,1990619.73,39,27.19,27.49,27.02,27.25
174,85060,2338553.24,39,27.5,27.5,27.11,27.49
175,158298,4341215.16,78,27.11,27.5,27.11,27.42
176,108001,3022338.13,67,27.74,28.0,27.74,27.98
177,68690,1942837.43,43,27.61,28.5,27.61,28.28
178,55620,1585675.8,15,28.5,28.6,28.5,28.51
179,37423,1066887.43,33,28.51,28.8,28.41,28.51
180,32728,938426.48,30,28.5,29.0,28.5,28.67
181,4000,114710.0,3,28.5,28.8,28.5,28.68
182,284021,8374353.03,36,28.42,29.5,28.42,29.48
183,56776,1670195.86,33,28.42,29.5,28.42,29.42
184,288428,8651840.35,33,29.3,30.0,29.3,30.0
185,69505,2146911.3,49,30.01,31.0,30.0,30.89
186,152310,4721680.0,35,31.0,31.4,30.99,31.0
187,32991,1022114.81,22,30.83,31.0,30.83,30.98
188,80151,2447058.46,28,29.56,31.0,29.56,30.53
189,303357,9403926.06,17,31.0,31.0,30.51,31.0
190,15883,480519.26,19,30.51,30.51,30.1,30.25
191,85781,2573781.38,68,30.49,30.5,28.03,30.0
192,199546,5908699.6,28,29.99,30.49,29.5,29.61
193,54708,1639626.0,7,29.5,30.0,29.5,29.97
194,49309,1461440.2,17,29.51,30.0,29.5,29.64
195,2446,71666.2,6,29.2,29.4,29.2,29.3
196,36881,1098570.7,32,30.0,30.0,29.5,29.79
197,38044,1141312.0,28,29.99,30.0,29.99,30.0
198,2474,73526.03,10,28.57,30.0,28.53,29.72
199,28319,849570.0,11,30.0,30.0,30.0,30.0
200,193769,5906222.76,106,29.51,31.0,29.51,30.48
201,88665,2748670.5,57,31.0,31.01,31.0,31.0
202,765,23791.5,1,31.1,31.1,31.1,31.1
203,86785,2690535.0,48,31.0,31.2,31.0,31.0
204,37274,1155494.0,19,31.0,31.0,31.0,31.0
205,64486,1999066.0,16,31.0,31.0,31.0,31.0
206,12500,387375.0,7,30.99,30.99,30.99,30.99
207,17550,543874.5,6,30.99,30.99,30.99,30.99
208,28175,873144.5,13,31.0,31.0,30.9,30.99
209,8856,274463.37,14,30.38,31.05,30.38,30.99
210,14050,435550.0,14,31.0,31.0,31.0,31.0
211,8265,255541.44,16,30.38,31.0,30.0,30.92
212,14412,445511.5,13,30.11,31.0,30.11,30.91
213,22650,689949.0,5,30.26,30.5,30.22,30.46
214,48752,1486066.96,90,30.49,30.5,29.75,30.48
215,146845,4342857.4,22,29.61,30.01,29.5,29.57
216,50731,1487326.82,11,29.5,30.22,29.3,29.32
217,2,58.04,1,29.02,29.02,29.02,29.32
218,1500,44266.5,4,29.52,29.52,29.51,29.51
219,96468,2960031.07,35,30.0,31.0,30.0,30.68
220,3651,112340.96,7,30.5,30.92,30.5,30.77
221,137099,4391120.36,60,30.99,32.5,30.99,32.03
222,3686,119794.93,7,32.5,32.5,32.43,32.5
223,45465,1478591.17,44,32.5,32.8,32.5,32.52
224,93159,3074046.95,84,32.51,33.02,32.51,33.0
225,114268,3889404.47,121,33.0,34.5,33.0,34.04
226,135640,4691603.13,43,33.21,34.75,33.2,34.59
227,280,9504.4,3,33.11,34.25,33.11,34.59
228,73958,2514513.6,291,33.9,34.02,33.9,34.0
229,19640,667787.0,21,34.02,34.02,34.0,34.0
230,11414,393416.8,21,34.0,34.5,34.0,34.47
231,132208,4561519.13,42,34.01,34.8,34.0,34.5
232,10259,348826.0,6,34.01,34.01,34.0,34.0
233,13258,449440.0,7,34.0,34.0,33.0,33.9
234,100,3330.0,1,33.3,33.3,33.3,33.9
235,237618,8077472.2,25,33.0,34.01,33.0,33.99
236,12355,420004.9,13,33.38,34.0,33.38,33.99
237,137,4528.81,2,33.0,33.11,33.0,33.99
238,3903,132690.0,22,33.33,34.39,33.33,34.0
239,79522,2742728.5,25,34.0,34.5,34.0,34.49
240,9700,332450.0,5,34.7,34.7,34.25,34.27
241,5705,194012.9,9,34.65,34.75,32.32,34.01
242,20461,695762.89,15,34.0,34.49,34.0,34.0
243,13515,472673.98,38,34.5,35.48,34.5,34.97
244,851,29786.97,7,34.03,35.02,34.03,35.0
245,26001,933238.98,21,35.22,36.02,35.22,35.89
